2018-08-06 10:39:48.8469 | Debug | Passed 
2018-08-06 10:39:58.3393 | Debug | CaesarTests.TC_1_04_04 
2018-08-06 10:39:58.3393 | Debug | Test_ClickCancelButton_GroupDeleteConfirmantionWindowClosed 
2018-08-06 10:39:58.3602 | Debug | Passed 
2018-08-06 10:40:03.7536 | Debug | CaesarTests.TC_1_04_04 
2018-08-06 10:40:03.7626 | Debug | Test_PressEscKey_GroupDeleteConfirmantionWindowOpenedClosed 
2018-08-06 10:40:03.7746 | Debug | Passed 
2018-08-06 10:40:06.2451 | Debug | CaesarTests.TC_1_04_04 
2018-08-06 10:40:06.2451 | Debug | Test_SelectGroup_ClickDeleteButton_GroupDeleteConfirmantionWindowOpened 
2018-08-06 10:40:06.2671 | Debug | Passed 
2018-08-06 10:40:15.6916 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:15.7085 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList(".Net","groupNet","K. Kozak","SoftServe","02/13/2018","Expert") 
2018-08-06 10:40:15.7085 | Debug | Passed 
2018-08-06 10:40:20.9096 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:20.9205 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("ISTQB","groupISTQB","O. Reuta","OpenGroup","11/19/2018","Expertik") 
2018-08-06 10:40:20.9365 | Debug | Passed 
2018-08-06 10:40:26.0139 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:26.0249 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("iOS","groupIOS","D. Petin","SoftServe","06/11/2012","Expertok") 
2018-08-06 10:40:26.0249 | Debug | Passed 
2018-08-06 10:40:31.2335 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:31.2525 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("UX","groupUX","P. Kucher","OpenGroup","01/05/2011","Testwoman") 
2018-08-06 10:40:31.2674 | Debug | Passed 
2018-08-06 10:40:36.4602 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:36.4722 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("C/C++","groupC/C++","A. Koval","SoftServe","09/27/2017","Testman") 
2018-08-06 10:40:36.4822 | Debug | Passed 
2018-08-06 10:40:38.7287 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:38.7287 | Debug | Test_SignInAsAdministrator_OpenGroupCreateWindow_LocationDDlEnabled 
2018-08-06 10:40:38.7457 | Debug | Passed 
2018-08-06 10:40:40.8343 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 10:40:40.8433 | Debug | Test_SignInAsCoordinator_OpenGroupCreateWindow_LocationDDlnotEnabled 
2018-08-06 10:40:40.8433 | Debug | Passed 
2018-08-06 10:40:47.5537 | Debug | CaesarTests.TC_1_04_06 
